country,iso,region,score,rank,interval
Afghanistan,AFG,AP,1.4,176,1.1 - 1.7
Albania,ALB,ECA,3.3,87,2.6 - 4.1
Algeria,DZA,MENA,2.9,105,2.3 - 3.4
Angola,AGO,SSA,1.9,168,1.7 - 2.2
Argentina,ARG,AME,2.9,105,2.4 - 3.6
Armenia,ARM,ECA,2.6,123,2.3 - 2.9
Australia,AUS,AP,8.7,8,7.5 - 9.2
Austria,AUT,WE/EU,7.9,15,6.8 - 8.9
Azerbaijan,AZE,ECA,2.4,134,2.0 - 3.3
Bahrain,BHR,MENA,4.9,48,3.1 - 5.9
Bangladesh,BGD,AP,2.4,134,1.5 - 4.0
Barbados,BRB,AME,7.8,17,6.8 - 8.9
Belarus,BLR,ECA,2.5,127,2.1 - 3.1
Belgium,BEL,WE/EU,7.1,22,6.8 - 7.4
Benin,BEN,SSA,2.8,110,1.7 - 3.7
Bhutan,BTN,AP,5.7,36,5.1 - 6.6
Bolivia,BOL,AME,2.8,110,2.1 - 3.3
Bosnia and Herzegovina,BIH,ECA,3.2,91,2.3 - 3.9
Botswana,BWA,SSA,5.8,33,5.2 - 6.8
Brazil,BRA,AME,3.7,69,2.7 - 5.6
Brunei Darussalam,BRN,AP,38,38,4.7 - 6.1
Bulgaria,BGR,WE/EU,3.6,73,2.9 - 5.2
Burkina Faso,BFA,SSA,3.1,98,1.9 - 4.8
Burundi,BDI,SSA,1.8,170,1.4 - 2.3
Cabo Verde,CPV,SSA,5.1,45,3.4 - 6.6
Cambodia,KHM,AP,2.1,154,1.5 - 2.5
Cameroon,CMR,SSA,2.2,146,1.9 - 3.0
Canada,CAN,AME,8.9,6,8.4 - 9.2
Central African Republic,CAF,SSA,2.1,154,1.9 - 2.5
Chad,TCD,SSA,1.7,171,1.5 - 2.1
Chile,CHL,AME,7.2,21,6.8 - 7.7
China,CHN,AP,3.5,78,2.3 - 5.5
Colombia,COL,AME,3.5,78,3.1 - 5.2
Comoros,COM,SSA,2.1,154,1.7 - 2.6
Congo,COG,SSA,2.1,154,1.8 - 2.5
Costa Rica,CRI,AME,5.3,41,4.7 - 6.8
Cote d'Ivoire,CIV,SSA,2.2,146,1.8 - 3.3
Croatia,HRV,WE/EU,4.1,62,3.4 - 5.2
Cuba,CUB,AME,3.7,69,2.6 - 5.1
Cyprus,CYP,WE/EU,6.3,28,5.8 - 6.8
Czech Republic,CZE,WE/EU,4.6,53,3.3 - 5.8
